BlockID,Process
blk_-2900490557492272760,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I3, I4, I5, I13, I13, I13, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-50273257731426871,"I2, I1, I1, I1, I4, I5, I5, I5, I3, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4"
blk_4394112519745907149,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_3640100967125688321,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-40115644493265216,"I1, I2, I1, I1, I5, I5, I5, I4, I4, I3, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-8531310335568756456,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I4, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-3409923645141256069,"I2, I1, I1, I1, I5, I4, I3, I4, I3, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4"
blk_3974948352784823938,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I3, I4, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_5647760196018207394,"I1, I2, I1, I1, I5, I5, I5, I3, I3, I4, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-202775138379690649,"I2, I1, I1, I1, I5, I5, I3, I4, I4, I3, I3, I4, I5, I13, I13, I13, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-8120118743897862909,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_8376667364205250596,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-1942808544656255720,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I4, I3, I5, I13, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4"
blk_3947106522258141922,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4"
blk_-4513615671112005170,"I2, I1, I1, I1, I5, I5, I4, I4, I3, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4"
blk_5703440264997337028,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-66330728533676520,"I2, I1, I1, I1, I5, I3, I4, I3, I4, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_1998424538687454859,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I4, I3, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4"
blk_3175731177970777720,"I1, I2, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_5117857107611435103,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I4, I4, I3, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_5727159100405160712,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I4, I3, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-6535155942125829332,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-7742258871275669707,"I2, I1, I1, I1, I5, I5, I5, I4, I4, I3, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-7861579849076010389,"I1, I2, I1, I1, I5, I3, I4, I4, I3, I5, I5, I4, I3, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-8476126489496204177,"I2, I1, I1, I1, I4, I3, I3, I4, I5, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-2372508938534145884,"I2, I1, I1, I1, I4, I3, I5, I5, I5, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4"
blk_4649698331936539655,"I2, I1, I1, I1, I5, I4, I3, I4, I3, I4, I3, I5, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4"
blk_9069966081657556515,"I2, I1, I1, I1, I5, I3, I4, I4, I3, I5, I5, I4, I3, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-2444160001954743483,"I2, I1, I1, I1, I4, I5, I5, I5, I3, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-2828839543885026602,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-3940941529251864773,"I1, I1, I2, I1, I4, I3, I5, I3, I4, I4, I3, I5, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4"
blk_8609819439677503690,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-8281945757273050140,"I2, I1, I1, I1, I5, I5, I5, I4, I4, I3, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4"
blk_2825871331379974767,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-774246298521956028,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I3, I4, I4, I13, I13, I13, W4"
blk_-5649479540791129974,"I1, I2, I1, I1, I5, I4, I3, I4, I3, I4, I5, I5, I3, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_-8013855621109800549,"I1, I2, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_177394776382448614,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I4, I3, I5, I13, I13, I13, W4"
blk_-2398209593415798905,"I2, I1, I1, I1, I5, I5, I4, I3, I3, I4, I3, I4, I5, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-6370470857048627387,"I2, I1, I1, I1, I5, I3, I4, I3, I4, I3, I4, I5, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_7475438553401908725,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-8186438745381579117,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-105450231192318816,"I2, I1, I1, I1, I3, I4, I5, I5, I5, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-1385756122847916710,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I3, I4, I5, I13, I13, I13, W4"
blk_2080109799967615857,"I2, I1, I1, I1, I4, I3, I5, I5, I3, I4, I3, I4, I5, I13, I13, I13, W4, W4"
blk_3098154771341398925,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_3738211383445750914,"I2, I1, I1, I1, I5, I4, I3, I4, I3, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4"
blk_-4309280423174037990,"I2, I1, I1, I1, I5, I4, I3, I5, I5, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4"
blk_584104991019184413,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_6609646171038203219,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I3, I4, I4, I13, I13, I13, W4"
blk_6740695140894845846,"I2, I1, I1, I1, I4, I3, I5, I5, I5, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_6835995323369082616,"I2, I1, I1, I1, I5, I4, I3, I5, I3, I3, I4, I4, I5, I13, I13, I13, W4"
blk_-7198899606504196854,"I2, I1, I1, I1, I3, I4, I3, I4, I5, I5, I5, I4, I3, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_7955481321933797799,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_7956543127401791181,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I5, I3, I3, I4, I13, I13, I13, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_8026466674001363449,"I2, I1, I1, I1, I4, I3, I4, I3, I5, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4"
blk_-2850818623433938591,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4"
blk_6227055072516687391,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_1937926427363440853,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-2682415100025107597,"I2, I1, I1, I1, I5, I3, I4, I4, I3, I5, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4"
blk_-2814588473145762869,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4"
blk_634338240549205708,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I4, I3, I3, I5, I13, I13, W4, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4"
blk_7474637556625667220,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I5, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-7911463493785581853,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I4, I4, I3, I13, I13, I13, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_967160175355936210,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I5, I3, I4, I13, I13, I13, W4"
blk_3941533870808561940,"I1, I2, I1, I1, I5, I5, I4, I3, I4, I4, I3, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4"
blk_40441923226500563,"I1, I2, I1, I1, I5, I5, I5, I3, I3, I4, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4"
blk_6309418393114897475,"I2, I1, I1, I1, I5, I3, I3, I4, I4, I5, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-6790654856691185731,"I1, I1, I2, I1, I5, I3, I4, I4, I3, I5, I3, I5, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_8558795046002911094,"I1, I2, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-3667585438930153850,"I1, I1, I2, I1, I5, I4, I3, I3, I4, I5, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_5479015932651254774,"I1, I2, I1, I1, I5, I5, I4, I3, I4, I3, I5, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_6918081507126070602,"I1, I2, I1, I1, I5, I3, I4, I3, I4, I3, I4, I5, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_8046151943293893685,"I1, I2, I1, I1, I5, I5, I3, I4, I4, I3, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4"
blk_3461505966191484945,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-4341181125838883663,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I3, I4, I5, I13, I13, W4, W4"
blk_5775293647706867248,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I3, I4, I5, I13, I13, I13, W4"
blk_6288745377407023095,"I2, I1, I1, I1, I5, I4, I3, I5, I5, I4, I3, I4, I3, I13, I13, I13, W4"
blk_-3076705858972714475,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I4, I3, I3, I13, I13, I13, W4"
blk_4521164666406024155,"I2, I1, I1, I1, I5, I5, I3, I4, I4, I3, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4"
blk_-5835224384325268050,"I2, I1, I1, I1, I5, I4, I3, I4, I3, I4, I3, I5, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-3102267849859399193,"I2, I1, I1, I14, I15, I3, I19, I20"
blk_-3776330106018304557,"I1, I2, I1, I1, I5, I3, I4, I5, I4, I3, I5, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-3865158146925189370,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I3, I4, I4, I5, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-6108780682959356968,"I2, I1, I1, I1, I5, I5, I4, I4, I3, I3, I5, I3, I4, I13, I13, I13, W4"
blk_6597014667441085597,"I2, I1, I1, I1, I5, I5, I5, I4, I4, I3, I3, I4, I3, I13, I13, I13, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-9025459096044337508,"I2, I1, I1, I1, I5, I4, I4, I3, I3, I4, I3, I5, I5, I13, I13, I13, W4"
blk_-1477913034248457629,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I4, I3, I4, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_1613550655988246573,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I4, I3, I13, I13, W4"
blk_2074627648226805983,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_2986822300704311308,"I2, I1, I1, I1, I4, I5, I5, I4, I3, I3, I3, I4, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-4390409968877773039,"I2, I1, I1, I1, I5, I5, I3, I4, I4, I3, I3, I4, I5, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4"
blk_-8515113585876695879,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I4, I3, I5, I13, I13, I13, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_8595954612153362607,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4"
blk_8665604379324651807,"I2, I1, I1, I1, I5, I4, I4, I3, I3, I3, I4, I5, I5, I13, I13, I13, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-1187723472581877455,"I2, I1, I1, I1, I5, I3, I4, I3, I4, I3, I4, I5, I5, I13, I13, I13, W4"
blk_-1548346834251221499,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I4, I3, I4, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-1962009378227535387,"I2, I1, I1, I1, I5, I5, I5, I3, I3, I4, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4"
blk_-2804479706331551014,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4"
blk_4845477247445346914,"I1, I2, I1, I1, I5, I3, I4, I5, I5, I4, I3, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4"
blk_-5702477348781461354,"I2, I1, I1, I1, I5, I3, I4, I3, I4, I5, I4, I3, I5, I13, I13, I13, W4"
blk_-5800700353547170271,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I3, I4, I4, I13, I13, I13, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-6920587680575966964,"I2, I1, I1, I1, I5, I4, I3, I5, I5, I3, I4, I3, I4, I13, I13, I13, W4"
blk_-7158210625015641227,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I3, I4, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10"
blk_-7226303435190136642,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-8756305378882356508,"I2, I1, I1, I1, I5, I5, I3, I4, I3, I4, I3, I4, I5, I13, I13, I13, W4"
blk_8910234103556704078,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I3, I4, I4, I13, I13, I13, W4"
blk_2329219899967276279,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-2741438423499484166,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I3, I4, I13, I13, I13, W4"
blk_-4710160024743429585,"I2, I1, I1, I1, I4, I4, I3, I4, I3, I5, I5, I5, I3, I13, I13, I13, W4"
blk_5491460290951785997,"I1, I1, I2, I1, I5, I5, I5, I4, I3, I4, I3, I3, I4, I13, I13, I13, W4"
blk_-2983481749155087856,"I2, I1, I1, I1, I5, I5, I5, I4, I3, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4"
blk_5161501523120226002,"I2, I1, I1, I1, I5, I4, I3, I4, I3, I5, I3, I4, I5, I13, I13, I13, W4"
blk_1325332921567711382,"I2, I1, I1, I1, I5, I5, I5, I3, I4, I3, I4, I4, I3, I13, I13, I13, W4, W4, I10, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4, W4"
blk_-1871778753987286456,"I1, I2, I1, I1, I4, I3, I5, I4, I3, I3, I4, I5, I5, I13, I13, I13, W4"
blk_-518459762181346762,"I2, I1, I1, I1, I5, I5, I4, I3, I4, I3, I5, I4, I3, I13, I13, I13, W4"
blk_2391384234620089834,"I1, I2, I1, I1, I4, I3, I4, I3, I5, I5, I5, I4, I3, I13, I13, I13, W4"
blk_3433546525085724680,"I2, I1, I1, I1, I5, I3, I4, I3, I4, I5, I5, I4, I3, I13, I13, I13, W4"
blk_-1076549517733373559,"I2, I1, I1, I1, I3, I4, I5, I5, I5, I3, I4, I3, I4, I13, I13, I13, W4, W4, W4, W4, W4, W4, W4, W4, W4, I10, W4, W4, W4, W4, W4, W4"
